p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene	ensembl_gene_id	entrezgene_id	wikigene_description	ontology term	ontology description	ontology level
1.89E-14	0.514902988	0.362	0.301	6.11E-10	Atp6v0a1	ENSMUSG00000019302	11975	"ATPase, H+ transporting, lysosomal V0 subunit A1"	proton transmembrane transport	The directed movement of a proton across a membrane.	biological_process
1.91E-14	0.323995733	0.449	0.39	6.16E-10	Vav1	ENSMUSG00000034116	22324	vav 1 oncogene	protein binding	Binding to a protein.	molecular_function
1.94E-14	-0.402959781	0.298	0.359	6.26E-10	Lat	ENSMUSG00000030742	16797	linker for activation of T cells	signal transduction	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."	biological_process
1.96E-14	0.425724277	0.332	0.274	6.33E-10	Slc29a3	ENSMUSG00000020100	71279	"solute carrier family 29 (nucleoside transporters), member 3"	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
1.97E-14	-0.332427157	0.366	0.426	6.36E-10	Gpr65	ENSMUSG00000021886	14744	G-protein coupled receptor 65	G protein-coupled receptor activity	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	molecular_function
2.23E-14	0.392914532	0.397	0.335	7.19E-10	Gm12185	ENSMUSG00000048852	620913	predicted gene 12185	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
2.36E-14	0.392625185	0.435	0.379	7.62E-10	Nav2	ENSMUSG00000052512	78286	neuron navigator 2			
2.63E-14	0.469349203	0.608	0.582	8.49E-10	Tgfbr1	ENSMUSG00000007613	21812	"transforming growth factor, beta receptor I"	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.63E-14	0.339368255	0.602	0.563	8.50E-10	Myo1f	ENSMUSG00000024300	17916	myosin IF	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.74E-14	-0.302446731	0.445	0.501	8.86E-10	0610012G03Rik	NA	NA	NA	NA	NA	NA
3.42E-14	0.450581505	0.287	0.229	1.10E-09	Sdc3	ENSMUSG00000025743	20970	syndecan 3	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
3.63E-14	0.29125671	0.443	0.383	1.17E-09	Pbxip1	ENSMUSG00000042613	229534	pre B cell leukemia transcription factor interacting protein 1	gene expression	"The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, as well as translation and maturation for protein-coding genes."	biological_process
4.07E-14	-0.252100338	0.709	0.738	1.32E-09	Bri3	ENSMUSG00000047843	55950	brain protein I3	cytoplasm	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	cellular_component
4.24E-14	-0.300744973	0.451	0.504	1.37E-09	Phb2	ENSMUSG00000004264	12034	prohibitin 2			
4.34E-14	0.289501407	0.474	0.414	1.40E-09	Tent5c	ENSMUSG00000044468	74645	terminal nucleotidyltransferase 5C			
4.69E-14	-0.322979464	0.567	0.606	1.51E-09	Zfas1	ENSMUSG00000074578	68949	"zinc finger, NFX1-type containing 1, antisense RNA 1"			
4.89E-14	-0.271597497	0.566	0.607	1.58E-09	Psmb6	ENSMUSG00000018286	19175	"proteasome (prosome, macropain) subunit, beta type 6"			
5.24E-14	0.468139557	0.569	0.538	1.69E-09	Abhd12	ENSMUSG00000032046	76192	abhydrolase domain containing 12			
5.25E-14	-0.440487954	0.233	0.292	1.70E-09	2310010J17Rik	ENSMUSG00000097162	NA				
5.63E-14	0.412700448	0.275	0.22	1.82E-09	Fkbp4	ENSMUSG00000030357	14228	FK506 binding protein 4			
5.95E-14	0.427203773	0.52	0.469	1.92E-09	Rreb1	ENSMUSG00000039087	68750	ras responsive element binding protein 1			
6.01E-14	-0.316921513	0.375	0.433	1.94E-09	Nudt21	ENSMUSG00000031754	68219	nudix hydrolase 21	mRNA binding	"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."	molecular_function
6.51E-14	0.3300098	0.269	0.21	2.10E-09	Ppp1r9a	ENSMUSG00000032827	243725	"protein phosphatase 1, regulatory subunit 9A"	protein binding	Binding to a protein.	molecular_function
6.60E-14	-0.356691311	0.344	0.398	2.13E-09	Anapc16	ENSMUSG00000020107	52717	anaphase promoting complex subunit 16	protein ubiquitination	The process in which one or more ubiquitin groups are added to a protein.	biological_process
6.91E-14	0.493884221	0.303	0.247	2.23E-09	Fam102b	NA	NA	NA	NA	NA	NA
6.98E-14	-0.311318724	0.422	0.479	2.25E-09	Gtf2a2	ENSMUSG00000033543	235459	"general transcription factor II A, 2"	transcription initiation at RNA polymerase II promoter	"A transcription initiation process that takes place at a RNA polymerase II gene promoter. Messenger RNAs (mRNA) genes, as well as some non-coding RNAs, are transcribed by RNA polymerase II."	biological_process
7.10E-14	0.38512778	0.407	0.348	2.29E-09	P2ry12	ENSMUSG00000036353	70839	"purinergic receptor P2Y, G-protein coupled 12"	G protein-coupled receptor activity	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	molecular_function
7.27E-14	0.419411637	0.423	0.374	2.35E-09	Fcgr1	ENSMUSG00000015947	14129	"Fc receptor, IgG, high affinity I"	response to bacterium	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."	biological_process
7.49E-14	-0.43677753	0.501	0.534	2.42E-09	Alox5ap	ENSMUSG00000060063	11690	arachidonate 5-lipoxygenase activating protein	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
7.87E-14	-0.315204976	0.348	0.41	2.54E-09	Ctla4	ENSMUSG00000026011	12477	cytotoxic T-lymphocyte-associated protein 4			
7.99E-14	-0.285010777	0.453	0.505	2.58E-09	Mrpl20	ENSMUSG00000029066	66448	mitochondrial ribosomal protein L20			
8.80E-14	0.387968398	0.472	0.422	2.84E-09	Itgam	ENSMUSG00000030786	16409	integrin alpha M	cell adhesion	"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."	biological_process
8.93E-14	0.391977115	0.371	0.312	2.88E-09	Tnrc18	ENSMUSG00000039477	231861	trinucleotide repeat containing 18	chromatin binding	"Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."	molecular_function
8.97E-14	0.395655168	0.415	0.359	2.90E-09	Eno1	ENSMUSG00000063524	13806	"enolase 1, alpha non-neuron"	glycolytic process	"The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules."	biological_process
9.38E-14	-0.302492357	0.422	0.473	3.03E-09	Mrpl57	ENSMUSG00000021967	67840	mitochondrial ribosomal protein L57	mitochondrial ribosome	A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes.	cellular_component
1.06E-13	0.395187242	0.51	0.468	3.44E-09	Zfhx3	ENSMUSG00000038872	11906	zinc finger homeobox 3	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
1.16E-13	0.464950235	0.4	0.346	3.75E-09	Mitf	ENSMUSG00000035158	17342	melanogenesis associated transcription factor	regulation of DNA-templated transcription	"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."	biological_process
1.16E-13	0.706488448	0.322	0.265	3.76E-09	Ptafr	ENSMUSG00000056529	19204	platelet-activating factor receptor	G protein-coupled receptor activity	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	molecular_function
1.18E-13	0.344704937	0.788	0.753	3.80E-09	Ctsd	ENSMUSG00000007891	13033	cathepsin D	proteolysis	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.	biological_process
1.32E-13	-0.297836604	0.402	0.464	4.25E-09	Ptpn22	ENSMUSG00000027843	19260	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"	cytoplasm	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	cellular_component
1.38E-13	-0.274902067	0.516	0.563	4.46E-09	Prdx2	ENSMUSG00000005161	21672	peroxiredoxin 2	oxidoreductase activity	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."	molecular_function
1.94E-13	0.35142256	0.33	0.27	6.25E-09	Rab20	ENSMUSG00000031504	19332	"RAB20, member RAS oncogene family"	GTPase activity	Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.	molecular_function
2.07E-13	0.34749385	0.374	0.318	6.68E-09	Trim30d	ENSMUSG00000057596	209387	tripartite motif-containing 30D	protein binding	Binding to a protein.	molecular_function
2.14E-13	-0.338684683	0.288	0.345	6.92E-09	Nubp1	ENSMUSG00000022503	26425	nucleotide binding protein 1	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.15E-13	0.431358114	0.348	0.293	6.93E-09	Sbno2	ENSMUSG00000035673	216161	strawberry notch 2	regulation of DNA-templated transcription	"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."	biological_process
2.20E-13	0.334160876	0.55	0.511	7.10E-09	Lpcat2	ENSMUSG00000033192	270084	lysophosphatidylcholine acyltransferase 2	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
2.31E-13	0.366038106	0.645	0.614	7.46E-09	Epb41l2	ENSMUSG00000019978	13822	erythrocyte membrane protein band 4.1 like 2	cytoskeleton	"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."	cellular_component
2.77E-13	0.295324315	0.441	0.381	8.95E-09	Morc3	ENSMUSG00000039456	338467	microrchidia 3	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
2.80E-13	-0.433494912	0.2	0.254	9.05E-09	Jdp2	ENSMUSG00000034271	81703	Jun dimerization protein 2	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
2.83E-13	0.372470426	0.523	0.479	9.12E-09	Trf	ENSMUSG00000032554	22041	transferrin	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	cellular_component
3.00E-13	-0.340605733	0.359	0.413	9.68E-09	Phf5a	ENSMUSG00000061360	68479	PHD finger protein 5A	"mRNA splicing, via spliceosome"	"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."	biological_process
3.09E-13	0.283958571	0.498	0.435	9.99E-09	Il21r	ENSMUSG00000030745	60504	interleukin 21 receptor			
3.17E-13	0.299436589	0.513	0.454	1.02E-08	Ddx17	ENSMUSG00000055065	67040	DEAD box helicase 17	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
3.20E-13	-0.283094431	0.503	0.546	1.03E-08	Aimp1	ENSMUSG00000028029	13722	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	tRNA binding	Binding to a transfer RNA.	molecular_function
3.29E-13	0.31087282	0.324	0.265	1.06E-08	Ly9	ENSMUSG00000004707	17085	lymphocyte antigen 9	adaptive immune response	"An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."	biological_process
3.34E-13	0.335844091	0.465	0.414	1.08E-08	Abi3	ENSMUSG00000018381	66610	ABI family member 3	protein binding	Binding to a protein.	molecular_function
3.35E-13	0.341386886	0.404	0.345	1.08E-08	Fbrsl1	ENSMUSG00000043323	381668	fibrosin-like 1	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
4.74E-13	-0.258357854	0.512	0.557	1.53E-08	Cuta	ENSMUSG00000024194	67675	cutA divalent cation tolerance homolog			
5.88E-13	0.347996832	0.511	0.464	1.90E-08	Tmcc3	ENSMUSG00000020023	319880	transmembrane and coiled coil domains 3			
6.21E-13	0.335610905	0.496	0.443	2.00E-08	E230029C05Rik	ENSMUSG00000097585	319711	RIKEN cDNA E230029C05 gene	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
8.25E-13	0.360281664	0.541	0.498	2.66E-08	Dock4	ENSMUSG00000035954	238130	dedicator of cytokinesis 4	protein binding	Binding to a protein.	molecular_function
8.31E-13	0.427527874	0.264	0.209	2.68E-08	Spire1	ENSMUSG00000024533	68166	spire type actin nucleation factor 1	vesicle-mediated transport	"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."	biological_process
8.87E-13	-0.366718089	0.35	0.403	2.86E-08	Cdk6	ENSMUSG00000040274	12571	cyclin dependent kinase 6			
8.90E-13	0.353653113	0.526	0.477	2.87E-08	Kctd12	ENSMUSG00000098557	239217	potassium channel tetramerisation domain containing 12	protein binding	Binding to a protein.	molecular_function
9.02E-13	0.331123894	0.32	0.267	2.91E-08	Sh3bp1	ENSMUSG00000022436	20401	SH3-domain binding protein 1	protein binding	Binding to a protein.	molecular_function
1.27E-12	0.276713907	0.356	0.295	4.11E-08	Kansl1l	ENSMUSG00000026004	68691	KAT8 regulatory NSL complex subunit 1-like	histone acetyltransferase complex	A protein complex that possesses histone acetyltransferase activity.	cellular_component
1.43E-12	-0.26292636	0.507	0.552	4.62E-08	Sys1	ENSMUSG00000045503	66460	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)			
1.50E-12	-0.372172283	0.355	0.411	4.85E-08	Coro2a	ENSMUSG00000028337	107684	"coronin, actin binding protein 2A"	protein binding	Binding to a protein.	molecular_function
1.68E-12	0.260957622	0.581	0.538	5.43E-08	St13	ENSMUSG00000022403	70356	suppression of tumorigenicity 13	protein binding	Binding to a protein.	molecular_function
1.79E-12	0.342311982	0.299	0.244	5.77E-08	Pkp4	ENSMUSG00000026991	227937	plakophilin 4	protein binding	Binding to a protein.	molecular_function
1.98E-12	0.362659908	0.546	0.51	6.38E-08	Selenop	ENSMUSG00000064373	20363	selenoprotein P	selenium binding	Binding to a selenium (Se) ion.	molecular_function
1.98E-12	0.316030529	0.551	0.502	6.40E-08	Rere	ENSMUSG00000039852	68703	arginine glutamic acid dipeptide (RE) repeats	regulation of DNA-templated transcription	"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."	biological_process
2.05E-12	-0.376842113	0.238	0.295	6.62E-08	Unc119	ENSMUSG00000002058	22248	unc-119 lipid binding chaperone	protein binding	Binding to a protein.	molecular_function
2.10E-12	0.287726891	0.441	0.384	6.77E-08	Ptpre	ENSMUSG00000041836	19267	protein tyrosine phosphatase receptor type E	protein tyrosine phosphatase activity	Catalysis of the reaction: protein tyrosine phosphate + H2O = protein tyrosine + phosphate.	molecular_function
2.17E-12	0.402518541	0.272	0.219	6.99E-08	Kcnk13	ENSMUSG00000045404	217826	"potassium channel, subfamily K, member 13"	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
2.50E-12	-0.40944685	0.201	0.255	8.06E-08	Il18rap	ENSMUSG00000026068	16174	interleukin 18 receptor accessory protein	signal transduction	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."	biological_process
2.57E-12	0.281455925	0.495	0.44	8.31E-08	Nlrc5	ENSMUSG00000074151	434341	"NLR family, CARD domain containing 5"			
2.97E-12	0.250618446	0.732	0.701	9.57E-08	Klf6	ENSMUSG00000000078	23849	Kruppel-like transcription factor 6	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
3.03E-12	-0.250133352	0.578	0.611	9.80E-08	Bax	ENSMUSG00000003873	12028	BCL2-associated X protein	regulation of apoptotic process	Any process that modulates the occurrence or rate of cell death by apoptotic process.	biological_process
4.12E-12	0.400809584	0.48	0.433	1.33E-07	Frmd4b	ENSMUSG00000030064	232288	FERM domain containing 4B	cytoskeleton	"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."	cellular_component
4.13E-12	0.282534145	0.438	0.379	1.33E-07	Adam17	ENSMUSG00000052593	11491	a disintegrin and metallopeptidase domain 17	proteolysis	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.	biological_process
4.30E-12	0.359337196	0.299	0.245	1.39E-07	Slfn8	ENSMUSG00000035208	276950	schlafen 8			
5.09E-12	0.297665085	0.265	0.21	1.64E-07	Nbea	ENSMUSG00000027799	26422	neurobeachin	protein binding	Binding to a protein.	molecular_function
5.36E-12	0.27608146	0.574	0.517	1.73E-07	Nek7	ENSMUSG00000026393	59125	NIMA (never in mitosis gene a)-related expressed kinase 7	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
6.18E-12	0.300642456	0.324	0.264	2.00E-07	Ccl12	ENSMUSG00000035352	20293	C-C motif chemokine ligand 12	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	cellular_component
6.38E-12	0.265663631	0.42	0.363	2.06E-07	Hps4	ENSMUSG00000042328	192232	"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2"	vesicle-mediated transport	"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."	biological_process
6.45E-12	0.275464005	0.397	0.339	2.08E-07	Golm1	ENSMUSG00000021556	105348	golgi membrane protein 1	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
6.56E-12	0.308419994	0.669	0.643	2.12E-07	Zeb2	ENSMUSG00000026872	24136	zinc finger E-box binding homeobox 2	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
7.44E-12	-0.450683349	0.22	0.273	2.40E-07	Zfp787	ENSMUSG00000046792	67109	zinc finger protein 787	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
7.49E-12	-0.30461518	0.401	0.451	2.42E-07	Pdcd6	ENSMUSG00000021576	18570	programmed cell death 6	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
9.17E-12	0.322738159	0.408	0.354	2.96E-07	Cd2ap	ENSMUSG00000061665	12488	CD2-associated protein	protein binding	Binding to a protein.	molecular_function
9.71E-12	0.273725606	0.439	0.385	3.14E-07	Hivep3	ENSMUSG00000028634	16656	human immunodeficiency virus type I enhancer binding protein 3			
1.01E-11	0.364040909	0.41	0.357	3.25E-07	Fgfr2	ENSMUSG00000030849	14183	fibroblast growth factor receptor 2	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.07E-11	0.340545803	0.342	0.287	3.44E-07	Rhoq	ENSMUSG00000024143	104215	ras homolog family member Q	GTPase activity	Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.	molecular_function
1.18E-11	-0.275076062	0.532	0.569	3.81E-07	Nudcd3	ENSMUSG00000053838	209586	NudC domain containing 3	cytoplasm	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	cellular_component
1.20E-11	0.250433783	0.645	0.609	3.88E-07	Skap2	ENSMUSG00000059182	54353	src family associated phosphoprotein 2	protein binding	Binding to a protein.	molecular_function
1.22E-11	0.30604457	0.343	0.289	3.93E-07	Rpn1	ENSMUSG00000030062	103963	ribophorin I	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
1.48E-11	0.260484237	0.483	0.423	4.78E-07	Rock2	ENSMUSG00000020580	19878	Rho-associated coiled-coil containing protein kinase 2	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.51E-11	0.292061871	0.508	0.453	4.87E-07	Pnisr	ENSMUSG00000028248	66625	PNN interacting serine/arginine-rich	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus.	cellular_component
1.58E-11	0.272127482	0.401	0.345	5.12E-07	Oxr1	ENSMUSG00000022307	170719	oxidation resistance 1	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
1.63E-11	0.286878428	0.592	0.54	5.27E-07	Pag1	ENSMUSG00000027508	94212	phosphoprotein associated with glycosphingolipid microdomains 1	intracellular signal transduction	"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."	biological_process
1.74E-11	-0.543616197	0.249	0.296	5.61E-07	Tctex1d2	NA	NA	NA	NA	NA	NA
1.75E-11	0.363159532	0.61	0.605	5.65E-07	Ly86	ENSMUSG00000021423	17084	lymphocyte antigen 86	immune response	Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.	biological_process
1.77E-11	0.303733921	0.453	0.402	5.71E-07	Pik3cd	ENSMUSG00000039936	18707	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	kinase activity	"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."	molecular_function
1.78E-11	0.331985242	0.264	0.212	5.75E-07	Tmem181a	ENSMUSG00000038141	77106	transmembrane protein 181A	toxic substance binding	"Binding to a toxic substance, a poisonous substance that causes damage to biological systems."	molecular_function
1.96E-11	-0.420830859	0.266	0.319	6.34E-07	Tnfrsf18	ENSMUSG00000041954	21936	"tumor necrosis factor receptor superfamily, member 18"	protein binding	Binding to a protein.	molecular_function
1.97E-11	0.502186599	0.259	0.211	6.35E-07	Abcc5	ENSMUSG00000022822	27416	"ATP-binding cassette, sub-family C member 5"	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.23E-11	-0.291429244	0.561	0.588	7.22E-07	Cyb5a	ENSMUSG00000024646	109672	cytochrome b5 type A (microsomal)			
2.34E-11	0.269205509	0.414	0.358	7.56E-07	Xaf1	ENSMUSG00000040483	327959	XIAP associated factor 1	apoptotic process	"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."	biological_process
2.35E-11	0.308748532	0.319	0.267	7.60E-07	Btk	ENSMUSG00000031264	12229	Bruton agammaglobulinemia tyrosine kinase	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.56E-11	0.331585051	0.32	0.267	8.26E-07	Pias2	ENSMUSG00000025423	17344	protein inhibitor of activated STAT 2	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
2.95E-11	-0.252294312	0.446	0.494	9.54E-07	Ndufs3	ENSMUSG00000005510	68349	NADH:ubiquinone oxidoreductase core subunit S3			
3.08E-11	0.526229574	0.319	0.268	9.95E-07	Ptpro	ENSMUSG00000030223	19277	protein tyrosine phosphatase receptor type O			
3.83E-11	0.338343064	0.32	0.267	1.24E-06	Atp8a2	ENSMUSG00000021983	50769	"ATPase, aminophospholipid transporter-like, class I, type 8A, member 2"	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
3.84E-11	0.384226504	0.323	0.274	1.24E-06	Supt3	ENSMUSG00000038954	109115	"SPT3, SAGA and STAGA complex component"	transcription by RNA polymerase II	"The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."	biological_process
3.87E-11	0.518167936	0.277	0.231	1.25E-06	Mrps6	ENSMUSG00000039680	121022	mitochondrial ribosomal protein S6	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
3.89E-11	0.439305162	0.317	0.268	1.25E-06	Sowahc	ENSMUSG00000098188	268301	sosondowah ankyrin repeat domain family member C	protein binding	Binding to a protein.	molecular_function
4.05E-11	0.389886443	0.377	0.325	1.31E-06	Rad51b	ENSMUSG00000059060	19363	RAD51 paralog B	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
4.33E-11	-0.501652064	0.211	0.257	1.40E-06	Cyp4f18	ENSMUSG00000003484	72054	"cytochrome P450, family 4, subfamily f, polypeptide 18"	monooxygenase activity	Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.	molecular_function
4.42E-11	-0.332845776	0.252	0.305	1.43E-06	Xpa	ENSMUSG00000028329	22590	"xeroderma pigmentosum, complementation group A"	damaged DNA binding	Binding to damaged DNA.	molecular_function
